epoch;acc;loss;val_acc;val_loss
0;0.6768922018348624;0.5817492926886322;0.7828125;0.4556693539023399
1;0.7949826989275637;0.4440457937076705;0.8379666400959418;0.34719098139793936
2;0.8373702422145328;0.3779155604429586;0.8546465448295436;0.36784362636737356
3;0.8520761246362222;0.35416380942486564;0.8888006356616547;0.2883195590414255
4;0.8581314878205252;0.33037190206323114;0.8943606036536934;0.2732498733130024
5;0.8705305650984952;0.3050787942494763;0.8832406671961874;0.2866556501967316
6;0.8817762399077278;0.29613790254623146;0.9046862591250346;0.30038131485864034
7;0.878892733632762;0.2876079968996389;0.9038919777127843;0.26238126800683303
8;0.8967704729637885;0.2636574559008236;0.8474980145337754;0.34617831640247315
9;0.8976355248669027;0.24661168155304425;0.9046862588883203;0.2772373472347063
10;0.9117647058823529;0.23611619085451585;0.8991262909436245;0.24740406685021304
11;0.9091695502417585;0.22734401389664294;0.8705321686243235;0.29574953425583905
12;0.9071510958011587;0.2249554832570143;0.9189833200953137;0.23539501819182618
13;0.9160899653979239;0.21599521844582298;0.8196981731532963;0.46975307286117074
14;0.9192618223760092;0.19920129626301883;0.9364575059571089;0.1943537810014012
15;0.9201268743478715;0.2041841967089366;0.9086576648133439;0.26170000402705124
16;0.9230103806915855;0.2014019043112846;0.9166004765687054;0.24652439625408556
17;0.9256055363321799;0.18922300543098988;0.9054805403479136;0.2988420293102007
18;0.9273356402071564;0.18130225194091754;0.931691818903892;0.22796056315456714
19;0.9307958478196132;0.18704529895501978;0.9205718823990432;0.24991541961244973
